Frequency,CHD,BHC,YTA,ZHY,LZH,Vel_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Dis_AVG,Frequency,CHD,BHC,YTA,ZHY,LZH,Acc_AVG
7.51953,172.402,33.5449,136.546,118.14,104.059,118.14,7.51953,3.64898,0.709996,2.89007,2.5005,2.20246,2.5005,7.51953,8145.4,1584.88,6451.34,5581.72,4916.43,5581.72
7.61719,137.668,61.2443,333.016,172.846,132.655,137.668,7.61719,2.87647,1.27965,6.9581,3.61149,2.77171,2.87647,7.61719,6588.83,2931.16,15938.2,8272.47,6348.88,6588.83
7.71484,188,123.676,270.623,113.034,187.18,187.18,7.71484,3.87837,2.5514,5.58287,2.33186,3.86147,3.86147,7.71484,9113.05,5995.04,13118.1,5479.19,9073.32,9073.32
7.8125,99.284,57.5183,143.972,75.1996,194.843,99.284,7.8125,2.0226,1.17175,2.93298,1.53195,3.9693,2.0226,7.8125,4873.59,2823.42,7067.21,3691.35,9564.31,4873.59
7.91016,60.1017,74.7655,220.541,76.7577,62.1828,74.7655,7.91016,1.20927,1.50431,4.43736,1.54439,1.25114,1.50431,7.91016,2987.11,3715.92,10961.1,3814.93,3090.54,3715.92
8.00781,13.0083,55.7699,174.736,95.2274,81.742,81.742,8.00781,0.258539,1.10842,3.47287,1.89264,1.62462,1.62462,8.00781,654.505,2806.04,8791.78,4791.33,4112.82,4112.82
8.10547,98.3542,66.6097,110.39,134.153,291.008,110.39,8.10547,1.93123,1.30791,2.16757,2.63416,5.7141,2.16757,8.10547,5009,3392.31,5621.98,6832.17,14820.5,5621.98
8.20313,139.744,47.6726,297.752,66.8146,138.002,138.002,8.20313,2.71128,0.924931,5.7769,1.29632,2.67749,2.67749,8.20313,7202.65,2457.13,15346.6,3443.74,7112.89,7112.89
8.30078,97.376,48.1419,132.645,47.1935,136.906,97.376,8.30078,1.86704,0.923047,2.54326,0.904865,2.62497,1.86704,8.30078,5078.68,2510.86,6918.12,2461.4,7140.38,5078.68
8.39844,13.0991,75.6854,51.2141,31.3844,153.782,51.2141,8.39844,0.248236,1.43428,0.970534,0.594751,2.91425,0.970534,8.39844,691.228,3993.84,2702.51,1656.12,8114.9,2702.51
8.49609,134.449,60.0562,284.86,134.698,160.982,134.698,8.49609,2.51859,1.12502,5.33621,2.52326,3.01562,2.52326,8.49609,7177.22,3205.95,15206.6,7190.52,8593.6,7190.52
8.59375,51.8318,78.8941,221.591,80.1253,69.2539,78.8941,8.59375,0.959918,1.46111,4.10383,1.48391,1.28257,1.46111,8.59375,2798.72,4259.98,11965.1,4326.46,3739.44,4259.98
