Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Vel_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Dis_AVG,Frequency,CHD,BHC,LOK,YTA,LZH,DL2,WEH,WED,RSH,Acc_AVG
5.37109,1584.16,3049.74,9269.42,7616.98,608.045,1914.24,1994.17,12416.6,3395.4,3049.74,5.37109,46.9414,90.369,274.669,225.704,18.0174,56.7223,59.0908,367.925,100.612,90.369,5.37109,53461.5,102921,312820,257055,20520,64600.9,67298.4,419029,114586,102921
5.46875,1499.44,3873.35,7682.74,9837.4,500.414,2064.13,1728.17,6559.77,8976.01,3873.35,5.46875,43.6376,112.725,223.588,286.294,14.5634,60.0716,50.2944,190.906,261.226,112.725,5.46875,51522.5,133093,263988,338025,17194.8,70925.9,59382.1,225401,308426,133093
5.56641,1792.34,3312.81,5203.9,5277.26,6165.28,714.29,2697.6,2826.54,2908.44,2908.44,5.56641,51.2465,94.7201,148.79,150.888,176.278,20.423,77.1298,80.8166,83.1583,83.1583,5.56641,62686.5,115865,182005,184571,215629,24982.1,94347.8,98857.6,101722,101722
5.66406,4007.41,2062.2,4698.93,905.689,5161.79,1392.24,3308.06,4236.4,4858.43,4007.41,5.66406,112.605,57.9458,132.036,25.449,145.042,39.1207,92.9533,119.039,136.517,112.605,5.66406,142617,73390.2,167227,32232,183700,49547.5,117728,150766,172903,142617
5.76172,1082,1144.82,5162.04,5189.43,1174.89,2786.59,1867.22,7065.81,6259.96,2786.59,5.76172,29.8878,31.6231,142.59,143.347,32.4537,76.9736,51.578,195.178,172.918,76.9736,5.76172,39170.4,41444.6,186876,187867,42533.2,100880,67597.1,255796,226623,100880
5.85938,1999.66,5394.41,6965.35,3235.43,833.616,4273.12,790.514,6904.03,7745.95,4273.12,5.85938,54.3156,146.525,189.196,87.8822,22.643,116.069,21.4723,187.53,210.399,116.069,5.85938,73618.5,198598,256433,119114,30690,157317,29103.2,254176,285171,157317
5.95703,3153.02,4874.29,5663.24,3983.2,2073.55,2320.52,255.613,15337,3054.72,3153.02,5.95703,84.2398,130.227,151.306,106.42,55.3994,61.9976,6.82926,409.76,81.6133,84.2398,5.95703,118015,182441,211970,149088,77611.2,86854.9,9567.38,574049,114335,118015
6.05469,4251.59,3297.85,2116.29,4687.8,2934.59,711.673,248.229,9313.09,4807.83,3297.85,6.05469,111.758,86.6882,55.6293,123.225,77.1394,18.7072,6.52501,244.806,126.38,86.6882,6.05469,161742,125459,80509.4,178337,111640,27074,9443.31,354295,182903,125459
6.15234,843.752,6030.45,4801.74,3727.98,2826.43,851.025,585.395,10059.9,12748.6,3727.98,6.15234,21.827,156.002,124.216,96.4391,73.117,22.0152,15.1436,260.24,329.795,96.4391,6.15234,32616.3,233115,185618,144110,109260,32897.5,22629.2,388879,492816,144110
6.25,2345.47,3604.91,4979.62,3954.01,2265.46,1004.17,431.017,3945.89,10494.4,3604.91,6.25,59.727,91.7983,126.805,100.688,57.6894,25.5711,10.9757,100.481,267.238,91.7983,6.25,92106.5,141565,195549,155274,88964.2,39433.8,16926,154955,412114,141565
6.34766,1067.01,2258.21,6090.4,2717.74,1876.17,1642.36,1063.37,4051.69,3085.11,2258.21,6.34766,26.7532,56.6202,152.705,68.1419,47.0413,41.1788,26.6619,101.588,77.353,56.6202,6.34766,42556.1,90065.4,242906,108393,74828.3,65502.9,42411,161596,123045,90065.4
6.44531,715.85,974.224,4361.16,3700.64,882.12,2305.25,1368.85,4003.74,2695.11,2305.25,6.44531,17.6766,24.0566,107.691,91.3804,21.7823,56.9237,33.8012,98.8649,66.5506,56.9237,6.44531,28989.8,39453.2,176614,149865,35723.3,93355.8,55434.4,162140,109144,93355.8
6.54297,2537.47,1587.44,543.834,1781.76,1541.37,3756.79,1406.87,2462.44,1953.87,1781.76,6.54297,61.7228,38.6138,13.2285,43.3406,37.4933,91.3824,34.2215,59.8979,47.5269,43.3406,6.54297,104317,65260.7,22357.4,73249.5,63366.9,154444,57837.4,101233,80324.7,73249.5
6.64063,4757.11,324.472,2525.69,3611.86,1661.23,1817.93,1147.38,4779.89,1313.7,1817.93,6.64063,114.013,7.77658,60.533,86.5649,39.8145,43.5701,27.4992,114.559,31.4852,43.5701,6.64063,198487,13538.4,105383,150702,69313.6,75851.9,47873.8,199438,54813,75851.9
6.73828,2528.36,742.91,4731.49,6114.6,3750.11,608.365,1802.3,869.114,2315.5,2315.5,6.73828,59.7187,17.5472,111.755,144.424,88.5758,14.3693,42.5695,20.528,54.691,54.691,6.73828,107045,31453.2,200321,258879,158772,25756.9,76305.6,36796.4,98033.4,98033.4
6.83594,3718.08,1052.54,7118.06,1359.94,1966.09,1906.68,1480.62,2529.91,5106.38,1966.09,6.83594,86.5647,24.5054,165.723,31.6622,45.7746,44.3916,34.4719,58.9015,118.887,45.7746,6.83594,159697,45208.2,305731,58411.4,84446.3,81894.8,63594.8,108663,219327,84446.3
6.93359,3030.19,3434.94,4549.65,3970.12,4350.75,751.714,445.682,2339.36,7982.19,3434.94,6.93359,69.5555,78.8463,104.433,91.1309,99.8679,17.255,10.2303,53.698,183.225,78.8463,6.93359,132010,149643,198206,172959,189541,32748.4,19416.1,101914,347745,149643
7.03125,2102.46,3298.72,1957.64,4534.5,1481.33,1459.69,1165.26,5533.42,2503.82,2102.46,7.03125,47.59,74.6677,44.312,102.64,33.5305,33.0406,26.3761,125.251,56.6748,47.59,7.03125,92883.9,145733,86486.1,200328,65443.2,64487.1,51479.6,244459,110615,92883.9
7.12891,584.58,1522.4,4241.75,4314.7,3196.54,1477.83,1956.19,6020.04,4678.62,3196.54,7.12891,13.0509,33.988,94.6983,96.327,71.3636,32.993,43.6724,134.399,104.452,71.3636,7.12891,26184.6,68191.6,189997,193265,143180,66195.4,87621.9,269651,209566,143180
7.22656,1384.52,2985.06,1966.89,3073.91,4199.07,2487.34,205.528,4024.65,4951.58,2985.06,7.22656,30.4922,65.7417,43.3179,67.6985,92.4787,54.7802,4.52647,88.6374,109.052,65.7417,7.22656,62865.5,135539,89308.1,139573,190662,112940,9332.18,182743,224831,135539
7.32422,1396.98,1471.94,1442.54,3462.22,2344.2,2640.34,864.199,852.929,1807.65,1471.94,7.32422,30.3564,31.9852,31.3463,75.234,50.9393,57.3744,18.779,18.5341,39.2801,31.9852,7.32422,64288.3,67737.8,66384.8,159330,107879,121507,39769.9,39251.3,83186.9,67737.8
7.42188,1333,266.008,1784.69,1274.06,3025.44,2689.86,534.72,2317.6,6305.97,1784.69,7.42188,28.5848,5.70428,38.2709,27.3211,64.8777,57.6815,11.4666,49.6987,135.225,38.2709,7.42188,62161.6,12404.7,83225.4,59413.4,141085,125436,24935.6,108077,294066,83225.4
7.51953,3826.69,575.84,3018.78,1292.64,1293.34,2997.25,927.452,253.316,4504.27,1293.34,7.51953,80.994,12.188,63.894,27.3593,27.3742,63.4385,19.63,5.36158,95.3352,27.3742,7.51953,180798,27206.5,142627,61072.7,61105.9,141610,43818.9,11968.3,212811,61105.9
7.61719,2094.41,434.732,2416.68,1798.66,1642.69,1243.35,749.468,4400.88,6358.56,1798.66,7.61719,43.7609,9.08337,50.4946,37.5816,34.3227,25.9787,15.6595,91.9528,132.857,37.5816,7.61719,100239,20806.4,115663,86084.3,78619.6,59506.8,35869.7,210627,304322,86084.3
